Class,City,State,Country,Zipcode,Patent,GYear,AppYearStr,lower,upper,Location,Category,csacode,msacode
473,AGAWAM,MA,US,1001,07118496,2006,2005,06855076-0,06855076-0,AGAWAM-MA-US,Others,44140,44140
138,AGAWAM,MA,US,1001,04715395,1987,1986,04357859-1,04357859-1,AGAWAM-MA-US,Others,44140,44140
34,AGAWAM,MA,US,1001,07020985,2006,2004,07468495-3,07468495-3,AGAWAM-MA-US,Chemical,44140,44140
416,AGAWAM,MA,US,1001,05782607,1998,1996,04069707-1,04069707-1,AGAWAM-MA-US,Chemical,44140,44140
30,AGAWAM,MA,US,1001,05471748,1995,1994,05471748-1,05471748-1,AGAWAM-MA-US,Others,44140,44140
473,AGAWAM,MA,US,1001,05342043,1994,1993,05098097-2,05098097-2,AGAWAM-MA-US,Others,44140,44140
62,AGAWAM,MA,US,1001,05704218,1998,1996,04653981-3,04653981-3,AGAWAM-MA-US,Others,44140,44140
473,AGAWAM,MA,US,1001,07637825,2009,2008,06855076-0,06855076-0,AGAWAM-MA-US,Others,44140,44140
428,AGAWAM,MA,US,1001,07842395,2010,2006,07842395-1,07842395-1,AGAWAM-MA-US,Others,44140,44140
528,AGAWAM,MA,US,1001,05149757,1992,1990,03887636-3,03887636-3,AGAWAM-MA-US,Chemical,44140,44140
156,AGAWAM,MA,US,1001,05352315,1994,1993,05352315-3,05352315-3,AGAWAM-MA-US,Chemical,44140,44140
525,AGAWAM,MA,US,1001,03900528,1975,1973,03900528-1,03900528-1,AGAWAM-MA-US,Chemical,44140,44140
252,AGAWAM,MA,US,1001,05389286,1995,1992,03887636-3,03887636-3,AGAWAM-MA-US,Chemical,44140,44140
522,AGAWAM,MA,US,1001,07579386,2009,2007,06855076-0,06855076-0,AGAWAM-MA-US,Chemical,44140,44140
73,AGAWAM,MA,US,1001,04064747,1977,1976,04055993-1,04055993-1,AGAWAM-MA-US,Electrical & Electronic,44140,44140
446,AGAWAM,MA,US,1001,04725257,1988,1986,04725257-1,04725257-1,AGAWAM-MA-US,Others,44140,44140
